# Focus words — add new lines as: Greek<TAB>Russian
# Verbs get all 3 forms: present → aorist, θα future

τελευταία	в последнее время; последняя
κάποιος	кто-то, какой-то
φτιάχνω → έφτιαξα, θα φτιάξω	мастерить, чинить
λοιπόν	итак, ну, значит
έτοιμοι	готовы (мн.ч.; έτοιμος — готовый)
περίπου	примерно, около
το σαγανάκι	саганаки (жареный сыр)
τηγανητά	жареное (τηγανητός — жареный)
προτιμώ → προτίμησα, θα προτιμήσω	предпочитать
βέβαια	конечно, разумеется
αμέσως	сразу, немедленно
τι γίνεται;	как дела? что происходит?
άλλο	другое; ещё (что-нибудь ещё)
πως	что (союз; ср. πώς — как?)
παρακολουθώ → παρακολούθησα, θα παρακολουθήσω	следить, наблюдать; посещать (занятия)
η παρέα	компания (друзей)
