Greek	Russian	Unit

# ΕΝΟΤΗΤΑ 1
γεια σας	Здравствуйте	1
γεια σου	Привет	1
χαίρω πολύ	Очень приятно	1
πώς σε λένε;	Как тебя зовут?	1
πώς σας λένε;	Как вас зовут?	1
με λένε...	Меня зовут...	1
είμαι από...	Я из...	1
από πού είσαι;	Откуда ты?	1
εγώ	Я	1
εσύ	Ты	1
αυτός	Он	1
αυτή	Она	1
αυτό	Оно	1
εμείς	Мы	1
εσείς	Вы	1
αυτοί	Они (м.р.)	1
αυτές	Они (ж.р.)	1
αυτά	Они (ср.р.)	1
δεν	Не (отрицание)	1
κύριε	Господин	1
κυρία	Госпожа	1
μηδέν	Ноль	1
ένα	Один	1
δύο	Два	1
τρία	Три	1
τέσσερα	Четыре	1
πέντε	Пять	1
έξι	Шесть	1
εφτά	Семь	1
οχτώ	Восемь	1
εννιά	Девять	1
δέκα	Десять	1
ο φίλος	Друг	1
η φίλη	Подруга	1
η τάξη	Класс	1
το μάθημα	Урок	1
εδώ	Здесь	1
εκεί	Там	1

# ΕΝΟΤΗΤΑ 2
τι κάνεις;	Как дела?	2
τι κάνετε;	Как ваши дела?	2
καλά	Хорошо	2
μια χαρά	Отлично	2
έτσι κι έτσι	Так себе	2
καλούτσικα	Неплохо	2
χάλια	Ужасно	2
χαίρετε	Здравствуйте (форм.)	2
αντίο	До свидания	2
τα λέμε	Увидимся	2
καλό βράδυ	Доброго вечера	2
πού μένεις;	Где ты живёшь?	2
πού ακριβώς;	Где именно?	2
το τηλέφωνο	Телефон	2
το κινητό	Мобильный телефон	2
ακούω	Слушать	2
μου	Мой	2
σου	Твой	2
του	Его	2
της	Её	2
μας	Наш	2
σας	Ваш	2
τους	Их	2
έντεκα	Одиннадцать	2
δώδεκα	Двенадцать	2
δεκατρία	Тринадцать	2
δεκατέσσερα	Четырнадцать	2
δεκαπέντε	Пятнадцать	2
δεκαέξι	Шестнадцать	2
δεκαεφτά	Семнадцать	2
δεκαοχτώ	Восемнадцать	2
δεκαεννιά	Девятнадцать	2
είκοσι	Двадцать	2
τριάντα	Тридцать	2
σαράντα	Сорок	2
πενήντα	Пятьдесят	2
εξήντα	Шестьдесят	2
εβδομήντα	Семьдесят	2
ογδόντα	Восемьдесят	2
ενενήντα	Девяносто	2
εκατό	Сто	2
το σχολείο	Школа	2
το φαρμακείο	Аптека	2
ο ήλιος	Солнце	2
ο ουρανός	Небо	2
το όνομα	Имя	2
το μουσείο	Музей	2
το εστιατόριο	Ресторан	2
το περίπτερο	Киоск	2
η ταβέρνα	Таверна	2
το νοσοκομείο	Больница	2
ο φούρνος	Пекарня	2
το μαγαζί	Магазин	2
το θέατρο	Театр	2
το ξενοδοχείο	Гостиница	2
η περιοχή	Район	2
η διεύθυνση	Адрес	2
το επώνυμο	Фамилия	2
η οδός	Улица (офиц.)	2
το πρόβλημα	Проблема	2

# ΕΝΟΤΗΤΑ 3
η οικογένεια	Семья	3
ανύπαντρος	Неженатый	3
ανύπαντρη	Незамужняя	3
ποιος;	Кто? (м.р.)	3
ποια;	Кто? (ж.р.)	3
η δουλειά	Работа	3
το γραφείο	Офис	3
το συνεργείο	Мастерская	3
η τράπεζα	Банк	3
το κομμωτήριο	Парикмахерская	3
το καφενείο	Кафе	3
ωραίος	Красивый	3
ο οδοντίατρος	Стоматолог	3
μαγειρεύω	Готовить (еду)	3

# ΕΝΟΤΗΤΑ 4
διαβάζω	Читать	4
γράφω	Писать	4
σπουδάζω	Учиться (в вузе)	4
ταξιδεύω	Путешествовать	4
λίγο	Немного	4
καθόλου	Совсем не	4
αρκετά καλά	Довольно хорошо	4
γαλλικά	Французский язык	4
γερμανικά	Немецкий язык	4
ιταλικά	Итальянский язык	4
αραβικά	Арабский язык	4
κινέζικα	Китайский язык	4
ιαπωνικά	Японский язык	4
αλβανικά	Албанский язык	4
πολωνικά	Польский язык	4
σουηδικά	Шведский язык	4
βουλγαρικά	Болгарский язык	4
το πάρκο	Парк	4
ο κινηματογράφος	Кинотеатр	4
ο σταθμός	Станция	4
η στάση	Остановка	4
