# present → aorist, θα future	russian  (all aorist verbs: Ελληνικά Α΄ lessons 12–13 + class notes)
# Multi-form verbs use " | " to separate the lines shown on reveal.

# --- Irregular aorists ---
έχω → είχα, θα έχω	иметь
λέω → είπα | λες → είπες | λέει → είπε | λέμε → είπαμε | λέτε → είπατε | λένε → είπαν | θα πω	говорить, сказать
καταλαβαίνω → κατάλαβα, θα καταλάβω	понимать
βρίσκω → βρήκα, θα βρω	находить
μένω → έμεινα, θα μείνω	оставаться, жить
φέρνω → έφερα, θα φέρω	приносить
μαθαίνω → έμαθα, θα μάθω	учить(ся), узнавать
έρχομαι → ήρθα, θα έρθω	приходить
γίνομαι → έγινα, θα γίνω	становиться, происходить
παντρεύομαι → παντρεύτηκα, θα παντρευτώ	жениться, выходить замуж
γεννιέμαι → γεννήθηκα, θα γεννηθώ	рождаться
κοιμάμαι → κοιμήθηκα, θα κοιμηθώ	спать
φεύγω → έφυγα, θα φύγω	уходить, уезжать
δίνω → έδωσα, θα δώσω	давать
στέλνω → έστειλα, θα στείλω	посылать
παραγγέλνω → παρήγγειλα, θα παραγγείλω	заказывать
πλένω → έπλυνα, θα πλύνω	мыть, стирать
βάζω → έβαλα, θα βάλω	класть, ставить
βγάζω → έβγαλα, θα βγάλω	вынимать, снимать
πέφτω → έπεσα, θα πέσω	падать
παίρνω → πήρα, θα πάρω	брать
μπαίνω → μπήκα, θα μπω	входить
βγαίνω → βγήκα, θα βγω	выходить
ανεβαίνω → ανέβηκα, θα ανέβω	подниматься
κατεβαίνω → κατέβηκα, θα κατέβω	спускаться
περιμένω → περίμενα, θα περιμένω	ждать
πεθαίνω → πέθανα, θα πεθάνω	умирать

είμαι → ήμουν | είσαι → ήσουν | είναι → ήταν | είμαστε → ήμασταν | είστε → ήσασταν | είναι → ήταν | θα είμαι	быть
πάω → πήγα | πας → πήγες | πάει → πήγε | πάμε → πήγαμε | πάτε → πήγατε | πάνε → πήγαν | θα πάω	идти, ехать
κάνω → έκανα, θα κάνω	делать
τρώω → έφαγα | τρως → έφαγες | τρώει → έφαγε | τρώμε → φάγαμε | τρώτε → φάγατε | τρώνε → έφαγαν | θα φάω	есть
πίνω → ήπια, θα πιω	пить
βλέπω → είδα, θα δω	видеть
# contract verbs with irregular -ασα / -εσα aorist
γελάω → γέλασα, θα γελάσω	смеяться
διψάω → δίψασα, θα διψάσω	испытывать жажду
πεινάω → πείνασα, θα πεινάσω	быть голодным
χαλάω → χάλασα, θα χαλάσω	портить(ся), ломать(ся)
μπορώ → μπόρεσα, θα μπορέσω	мочь
φοράω → φόρεσα, θα φορέσω	надевать, носить
πονάω → πόνεσα, θα πονέσω	болеть (об ощущении)
καλώ → κάλεσα, θα καλέσω	звать, приглашать
ζω → έζησα, θα ζήσω	жить
περνάω → πέρασα, θα περάσω	проходить, проводить
ξεχνάω → ξέχασα, θα ξεχάσω	забывать

# --- Regular aorists (from the notebook) ---


# --- Τύπος Α (-ω): stem + -σα / -ξα / -ψα ---
αγοράζω → αγόρασα, θα αγοράσω	покупать
πληρώνω → πλήρωσα, θα πληρώσω	платить
παίζω → έπαιξα, θα παίξω	играть
λείπω → έλειψα, θα λείψω	отсутствовать
δουλεύω → δούλεψα, θα δουλέψω	работать
ψάχνω → έψαξα, θα ψάξω	искать
ζηλεύω → ζήλεψα, θα ζηλέψω	ревновать, завидовать
φτιάχνω → έφτιαξα, θα φτιάξω	мастерить, чинить
νιώθω → ένιωσα, θα νιώσω	чувствовать

# --- Τύπος Β1/Β2 (-άω / -ώ): -ησα ---
μιλάω → μίλησα, θα μιλήσω	говорить, разговаривать
αγαπάω → αγάπησα, θα αγαπήσω	любить
βοηθάω → βοήθησα, θα βοηθήσω	помогать
αργώ → άργησα, θα αργήσω	опаздывать
ζητάω → ζήτησα, θα ζητήσω	просить
ξυπνάω → ξύπνησα, θα ξυπνήσω	просыпаться
περπατάω → περπάτησα, θα περπατήσω	ходить пешком, гулять
ρωτάω → ρώτησα, θα ρωτήσω	спрашивать
σταματάω → σταμάτησα, θα σταματήσω	останавливать(ся)
τηλεφωνώ → τηλεφώνησα, θα τηλεφωνήσω	звонить
προσπαθώ → προσπάθησα, θα προσπαθήσω	стараться, пытаться
χαιρετάω → χαιρέτησα, θα χαιρετήσω	здороваться, приветствовать
χρησιμοποιώ → χρησιμοποίησα, θα χρησιμοποιήσω	использовать
