# present → aorist	russian  (regular aorist verbs, from the notebook with Marina)

# --- Τύπος Α (-ω): stem + -σα / -ξα / -ψα ---
αγοράζω → αγόρασα	покупать
πληρώνω → πλήρωσα	платить
παίζω → έπαιξα	играть
λείπω → έλειψα	отсутствовать
δουλεύω → δούλεψα	работать
ψάχνω → έψαξα	искать
ζηλεύω → ζήλεψα	ревновать, завидовать

# --- Τύπος Β1/Β2 (-άω / -ώ): -ησα ---
μιλάω → μίλησα	говорить, разговаривать
αγαπάω → αγάπησα	любить
βοηθάω → βοήθησα	помогать
αργώ → άργησα	опаздывать
ζητάω → ζήτησα	просить
ξυπνάω → ξύπνησα	просыпаться
περπατάω → περπάτησα	ходить пешком, гулять
ρωτάω → ρώτησα	спрашивать
σταματάω → σταμάτησα	останавливать(ся)
τηλεφωνώ → τηλεφώνησα	звонить
προσπαθώ → προσπάθησα	стараться, пытаться
χαιρετάω → χαιρέτησα	здороваться, приветствовать
χρησιμοποιώ → χρησιμοποίησα	использовать
